Start_Supplier_ID,Customer_ID,Origin,Strat_time,Number_of_Cities,Km_to_Travel,Planned_ETA,Route1,Route2,Route3,End_Destination
SUP2862,CUST2508,LOC573,08:36,3,112,11:47,LOC573 -> LOC936 -> LOC224,LOC573 -> LOC844 -> LOC224,LOC573 -> LOC396 -> LOC224,LOC224
SUP2660,CUST0941,LOC570,09:57,8,349,07:56,LOC570 -> LOC713 -> LOC119 -> LOC894 -> LOC799 -> LOC234 -> LOC966 -> LOC602,LOC570 -> LOC418 -> LOC417 -> LOC566 -> LOC753 -> LOC836 -> LOC806 -> LOC602,LOC570 -> LOC396 -> LOC215 -> LOC571 -> LOC960 -> LOC289 -> LOC803 -> LOC602,LOC602
SUP6242,CUST8493,LOC896,20:37,10,295,20:27,LOC896 -> LOC458 -> LOC626 -> LOC856 -> LOC786 -> LOC785 -> LOC504 -> LOC924 -> LOC808 -> LOC131,LOC896 -> LOC198 -> LOC561 -> LOC593 -> LOC576 -> LOC730 -> LOC545 -> LOC341 -> LOC998 -> LOC131,LOC896 -> LOC100 -> LOC935 -> LOC189 -> LOC109 -> LOC511 -> LOC976 -> LOC194 -> LOC162 -> LOC131,LOC131
SUP9075,CUST6803,LOC766,21:08,2,267,04:10,LOC766 -> LOC700,LOC766 -> LOC700,LOC766 -> LOC700,LOC700
SUP0328,CUST8417,LOC921,19:37,7,99,09:01,LOC921 -> LOC443 -> LOC436 -> LOC414 -> LOC910 -> LOC768 -> LOC139,LOC921 -> LOC281 -> LOC655 -> LOC349 -> LOC244 -> LOC440 -> LOC139,LOC921 -> LOC954 -> LOC226 -> LOC541 -> LOC395 -> LOC153 -> LOC139,LOC139
SUP5246,CUST0088,LOC412,09:06,4,466,13:43,LOC412 -> LOC276 -> LOC186 -> LOC811,LOC412 -> LOC336 -> LOC501 -> LOC811,LOC412 -> LOC362 -> LOC748 -> LOC811,LOC811
SUP4016,CUST3653,LOC575,23:39,2,125,12:53,LOC575 -> LOC186,LOC575 -> LOC186,LOC575 -> LOC186,LOC186
SUP7099,CUST1888,LOC431,10:19,7,314,03:23,LOC431 -> LOC972 -> LOC283 -> LOC801 -> LOC333 -> LOC992 -> LOC328,LOC431 -> LOC810 -> LOC358 -> LOC333 -> LOC337 -> LOC773 -> LOC328,LOC431 -> LOC965 -> LOC601 -> LOC656 -> LOC344 -> LOC295 -> LOC328,LOC328
SUP6287,CUST5667,LOC848,03:24,10,344,12:11,LOC848 -> LOC777 -> LOC802 -> LOC362 -> LOC796 -> LOC522 -> LOC865 -> LOC361 -> LOC735 -> LOC246,LOC848 -> LOC557 -> LOC504 -> LOC867 -> LOC848 -> LOC646 -> LOC964 -> LOC742 -> LOC742 -> LOC246,LOC848 -> LOC298 -> LOC238 -> LOC663 -> LOC697 -> LOC590 -> LOC143 -> LOC392 -> LOC851 -> LOC246,LOC246
SUP7677,CUST2061,LOC437,13:39,8,478,09:17,LOC437 -> LOC730 -> LOC795 -> LOC402 -> LOC298 -> LOC386 -> LOC501 -> LOC314,LOC437 -> LOC182 -> LOC183 -> LOC294 -> LOC146 -> LOC959 -> LOC265 -> LOC314,LOC437 -> LOC603 -> LOC580 -> LOC762 -> LOC203 -> LOC446 -> LOC214 -> LOC314,LOC314
SUP2020,CUST1278,LOC242,14:42,10,242,00:28,LOC242 -> LOC944 -> LOC265 -> LOC133 -> LOC537 -> LOC659 -> LOC142 -> LOC444 -> LOC156 -> LOC397,LOC242 -> LOC996 -> LOC847 -> LOC811 -> LOC890 -> LOC702 -> LOC740 -> LOC761 -> LOC273 -> LOC397,LOC242 -> LOC425 -> LOC300 -> LOC829 -> LOC639 -> LOC973 -> LOC987 -> LOC196 -> LOC671 -> LOC397,LOC397
SUP1489,CUST5900,LOC339,23:11,9,105,19:37,LOC339 -> LOC936 -> LOC931 -> LOC857 -> LOC578 -> LOC182 -> LOC248 -> LOC333 -> LOC171,LOC339 -> LOC924 -> LOC955 -> LOC618 -> LOC880 -> LOC517 -> LOC959 -> LOC499 -> LOC171,LOC339 -> LOC561 -> LOC674 -> LOC512 -> LOC314 -> LOC640 -> LOC352 -> LOC100 -> LOC171,LOC171
SUP7446,CUST4470,LOC342,15:49,7,271,02:11,LOC342 -> LOC561 -> LOC145 -> LOC246 -> LOC884 -> LOC889 -> LOC896,LOC342 -> LOC308 -> LOC552 -> LOC670 -> LOC866 -> LOC691 -> LOC896,LOC342 -> LOC829 -> LOC171 -> LOC462 -> LOC795 -> LOC844 -> LOC896,LOC896
SUP3041,CUST8274,LOC403,15:23,5,139,13:51,LOC403 -> LOC533 -> LOC251 -> LOC245 -> LOC124,LOC403 -> LOC738 -> LOC148 -> LOC476 -> LOC124,LOC403 -> LOC876 -> LOC906 -> LOC812 -> LOC124,LOC124
SUP1503,CUST3173,LOC534,08:07,2,236,21:52,LOC534 -> LOC829,LOC534 -> LOC829,LOC534 -> LOC829,LOC829
SUP0044,CUST1416,LOC372,14:43,3,433,10:23,LOC372 -> LOC210 -> LOC703,LOC372 -> LOC303 -> LOC703,LOC372 -> LOC149 -> LOC703,LOC703
SUP2954,CUST6206,LOC347,10:50,10,80,07:37,LOC347 -> LOC219 -> LOC803 -> LOC905 -> LOC475 -> LOC319 -> LOC368 -> LOC979 -> LOC171 -> LOC150,LOC347 -> LOC821 -> LOC595 -> LOC533 -> LOC328 -> LOC266 -> LOC998 -> LOC740 -> LOC779 -> LOC150,LOC347 -> LOC639 -> LOC834 -> LOC793 -> LOC401 -> LOC343 -> LOC365 -> LOC157 -> LOC418 -> LOC150,LOC150
SUP0992,CUST7322,LOC777,03:29,8,140,21:59,LOC777 -> LOC331 -> LOC751 -> LOC470 -> LOC270 -> LOC276 -> LOC628 -> LOC453,LOC777 -> LOC502 -> LOC611 -> LOC113 -> LOC149 -> LOC438 -> LOC350 -> LOC453,LOC777 -> LOC162 -> LOC964 -> LOC964 -> LOC586 -> LOC819 -> LOC770 -> LOC453,LOC453
SUP9037,CUST1003,LOC774,18:01,4,129,01:54,LOC774 -> LOC410 -> LOC776 -> LOC941,LOC774 -> LOC703 -> LOC167 -> LOC941,LOC774 -> LOC993 -> LOC182 -> LOC941,LOC941
SUP0312,CUST5565,LOC225,15:56,8,468,05:55,LOC225 -> LOC641 -> LOC484 -> LOC644 -> LOC923 -> LOC824 -> LOC351 -> LOC604,LOC225 -> LOC682 -> LOC983 -> LOC957 -> LOC128 -> LOC598 -> LOC900 -> LOC604,LOC225 -> LOC483 -> LOC646 -> LOC873 -> LOC391 -> LOC702 -> LOC824 -> LOC604,LOC604
SUP6447,CUST2705,LOC409,04:24,5,342,21:29,LOC409 -> LOC170 -> LOC898 -> LOC346 -> LOC187,LOC409 -> LOC192 -> LOC902 -> LOC562 -> LOC187,LOC409 -> LOC927 -> LOC893 -> LOC501 -> LOC187,LOC187
SUP1231,CUST0976,LOC106,11:29,4,178,06:22,LOC106 -> LOC257 -> LOC479 -> LOC813,LOC106 -> LOC720 -> LOC378 -> LOC813,LOC106 -> LOC502 -> LOC545 -> LOC813,LOC813
SUP7422,CUST6018,LOC820,02:54,4,451,21:05,LOC820 -> LOC227 -> LOC802 -> LOC965,LOC820 -> LOC438 -> LOC198 -> LOC965,LOC820 -> LOC533 -> LOC940 -> LOC965,LOC965
SUP2787,CUST6718,LOC804,23:13,8,168,17:48,LOC804 -> LOC713 -> LOC269 -> LOC858 -> LOC665 -> LOC628 -> LOC378 -> LOC754,LOC804 -> LOC277 -> LOC409 -> LOC241 -> LOC629 -> LOC480 -> LOC554 -> LOC754,LOC804 -> LOC593 -> LOC619 -> LOC637 -> LOC249 -> LOC893 -> LOC571 -> LOC754,LOC754
SUP0905,CUST2246,LOC956,08:04,6,375,17:25,LOC956 -> LOC273 -> LOC100 -> LOC701 -> LOC797 -> LOC677,LOC956 -> LOC307 -> LOC942 -> LOC955 -> LOC732 -> LOC677,LOC956 -> LOC965 -> LOC601 -> LOC291 -> LOC994 -> LOC677,LOC677
SUP1815,CUST4822,LOC138,20:09,4,72,10:51,LOC138 -> LOC737 -> LOC606 -> LOC325,LOC138 -> LOC489 -> LOC775 -> LOC325,LOC138 -> LOC613 -> LOC834 -> LOC325,LOC325
SUP3815,CUST3869,LOC796,04:50,5,364,10:05,LOC796 -> LOC186 -> LOC835 -> LOC744 -> LOC194,LOC796 -> LOC679 -> LOC484 -> LOC836 -> LOC194,LOC796 -> LOC669 -> LOC930 -> LOC159 -> LOC194,LOC194
SUP6634,CUST7435,LOC736,18:27,8,451,19:45,LOC736 -> LOC962 -> LOC532 -> LOC747 -> LOC578 -> LOC441 -> LOC414 -> LOC187,LOC736 -> LOC391 -> LOC234 -> LOC968 -> LOC552 -> LOC680 -> LOC456 -> LOC187,LOC736 -> LOC860 -> LOC954 -> LOC710 -> LOC725 -> LOC797 -> LOC511 -> LOC187,LOC187
SUP6815,CUST5972,LOC210,16:05,3,452,14:52,LOC210 -> LOC106 -> LOC138,LOC210 -> LOC289 -> LOC138,LOC210 -> LOC708 -> LOC138,LOC138
